user_id,last_tx_timestamp,tx_count_24h,avg_tx_amount_7d,unique_receivers_7d,days_since_last_tx,rolling_24h_sum,txn_count_24h,drain_ratio,unique_counterparties_24h,round_number_ratio,near_threshold_count,avg_holding_time_mins,velocity_gradient,last_updated
U0,2025-03-08 20:02:00,0.0,0.0,0.0,75.0,,,,,,,,,
U10,2025-05-03 17:09:00,0.0,0.0,0.0,20.0,,,,,,,,,
U100,2025-03-27 19:36:00,0.0,0.0,0.0,56.0,,,,,,,,,
U1000,2025-05-19 01:50:00,0.0,580.0,1.0,4.0,,,,,,,,,
U10001,2025-05-21 15:33:00,0.0,7765.0,1.0,2.0,,,,,,,,,
U10002,2025-05-08 09:52:00,0.0,0.0,0.0,15.0,,,,,,,,,
U10003,2025-05-02 13:24:00,0.0,0.0,0.0,21.0,,,,,,,,,
U10004,2025-04-23 18:11:00,0.0,0.0,0.0,29.0,,,,,,,,,
U10005,2025-05-12 19:19:00,0.0,0.0,0.0,10.0,,,,,,,,,
U10007,2025-05-12 00:20:00,0.0,0.0,0.0,11.0,,,,,,,,,
U10009,2025-03-11 16:58:00,0.0,0.0,0.0,73.0,,,,,,,,,
U1001,2025-05-12 01:45:00,0.0,0.0,0.0,11.0,,,,,,,,,
U10010,2025-05-16 13:17:00,0.0,0.0,0.0,7.0,,,,,,,,,
U10011,2025-04-02 02:51:00,0.0,0.0,0.0,51.0,,,,,,,,,
U10015,2025-04-27 09:02:00,0.0,0.0,0.0,26.0,,,,,,,,,
U10019,2025-05-12 08:40:00,0.0,0.0,0.0,11.0,,,,,,,,,
U10020,2025-04-15 22:53:00,0.0,0.0,0.0,37.0,,,,,,,,,
U10021,2025-05-19 00:50:00,0.0,14125.0,1.0,4.0,,,,,,,,,
U10022,2025-04-12 04:13:00,0.0,0.0,0.0,41.0,,,,,,,,,
U10024,2025-05-03 04:34:00,0.0,0.0,0.0,20.0,,,,,,,,,
U10026,2025-04-16 21:29:00,0.0,0.0,0.0,36.0,,,,,,,,,
U10027,2025-05-23 01:55:00,1.0,137.2,1.0,0.0,,,,,,,,,
U10028,2025-05-08 07:33:00,0.0,0.0,0.0,15.0,,,,,,,,,
U10029,2025-03-27 00:33:00,0.0,0.0,0.0,57.0,,,,,,,,,
U10030,2025-03-30 03:20:00,0.0,0.0,0.0,54.0,,,,,,,,,
U10031,2025-03-07 03:08:00,0.0,0.0,0.0,77.0,,,,,,,,,
U10034,2025-05-08 17:14:00,0.0,0.0,0.0,15.0,,,,,,,,,
U10035,2025-03-02 23:38:00,0.0,0.0,0.0,81.0,,,,,,,,,
U10036,2025-05-18 14:18:00,0.0,12042.0,1.0,5.0,,,,,,,,,
U10037,2025-04-30 01:26:00,0.0,0.0,0.0,23.0,,,,,,,,,
U10039,2025-03-09 08:18:00,0.0,0.0,0.0,75.0,,,,,,,,,
U10040,2025-04-15 21:47:00,0.0,0.0,0.0,37.0,,,,,,,,,
U10044,2025-05-23 06:28:00,1.0,1591.0,1.0,0.0,,,,,,,,,
U10046,2025-05-04 09:25:00,0.0,0.0,0.0,19.0,,,,,,,,,
U10049,2025-03-11 09:05:00,0.0,0.0,0.0,73.0,,,,,,,,,
U10050,2025-03-02 11:13:00,0.0,0.0,0.0,82.0,,,,,,,,,
U10051,2025-03-14 23:53:00,0.0,0.0,0.0,69.0,,,,,,,,,
U10052,2025-03-04 21:23:00,0.0,0.0,0.0,79.0,,,,,,,,,
U10053,2025-03-18 20:29:00,0.0,0.0,0.0,65.0,,,,,,,,,
U10055,2025-03-10 09:54:00,0.0,0.0,0.0,74.0,,,,,,,,,
U10058,2025-04-27 07:59:00,0.0,0.0,0.0,26.0,,,,,,,,,
U10059,2025-04-22 19:52:00,0.0,0.0,0.0,30.0,,,,,,,,,
U1006,2025-03-30 08:13:00,0.0,0.0,0.0,54.0,,,,,,,,,
U10064,2025-04-23 21:18:00,0.0,0.0,0.0,29.0,,,,,,,,,
U10065,2025-04-22 21:04:00,0.0,0.0,0.0,30.0,,,,,,,,,
U10068,2025-04-04 07:18:00,0.0,0.0,0.0,49.0,,,,,,,,,
U1007,2025-04-27 18:32:00,0.0,0.0,0.0,25.0,,,,,,,,,
U10070,2025-03-29 00:31:00,0.0,0.0,0.0,55.0,,,,,,,,,
U10071,2025-03-12 15:46:00,0.0,0.0,0.0,72.0,,,,,,,,,
U10072,2025-04-22 17:40:00,0.0,0.0,0.0,31.0,,,,,,,,,
U10075,2025-05-07 22:39:00,0.0,0.0,0.0,15.0,,,,,,,,,
U10076,2025-03-06 20:40:00,0.0,0.0,0.0,77.0,,,,,,,,,
U10078,2025-04-13 04:22:00,0.0,0.0,0.0,40.0,,,,,,,,,
U10079,2025-03-04 02:01:00,0.0,0.0,0.0,80.0,,,,,,,,,
