user_id,is_mule,is_bot,is_synthetic,is_ato,label_source
U0,0,0,0,0,multimodal_consensus_logic
U1,0,0,0,1,multimodal_consensus_logic
U2,0,0,0,1,multimodal_consensus_logic
U3,0,0,0,1,multimodal_consensus_logic
U4,0,0,0,0,multimodal_consensus_logic
U5,0,0,0,0,multimodal_consensus_logic
U6,0,0,0,0,multimodal_consensus_logic
U7,0,0,0,0,multimodal_consensus_logic
U8,0,0,0,0,multimodal_consensus_logic
U9,0,0,0,1,multimodal_consensus_logic
U10,0,0,0,0,multimodal_consensus_logic
U11,0,0,0,1,multimodal_consensus_logic
U12,0,0,0,0,multimodal_consensus_logic
U13,0,0,0,0,multimodal_consensus_logic
U14,0,0,0,0,multimodal_consensus_logic
U15,0,0,0,0,multimodal_consensus_logic
U16,0,0,0,0,multimodal_consensus_logic
U17,0,0,0,1,multimodal_consensus_logic
U18,0,0,0,0,multimodal_consensus_logic
U19,0,0,0,1,multimodal_consensus_logic
U20,0,0,0,1,multimodal_consensus_logic
U21,0,0,0,1,multimodal_consensus_logic
U22,0,0,0,1,multimodal_consensus_logic
U23,0,0,0,0,multimodal_consensus_logic
U24,0,0,0,0,multimodal_consensus_logic
U25,0,0,0,0,multimodal_consensus_logic
U26,0,0,0,1,multimodal_consensus_logic
U27,0,0,0,0,multimodal_consensus_logic
U28,0,0,0,0,multimodal_consensus_logic
U29,0,0,0,1,multimodal_consensus_logic
U30,0,0,0,1,multimodal_consensus_logic
U31,0,0,0,0,multimodal_consensus_logic
U32,0,0,0,0,multimodal_consensus_logic
U33,0,0,0,0,multimodal_consensus_logic
U34,0,0,0,0,multimodal_consensus_logic
U35,0,0,0,0,multimodal_consensus_logic
U36,0,0,0,1,multimodal_consensus_logic
U37,0,0,0,0,multimodal_consensus_logic
U38,0,0,0,0,multimodal_consensus_logic
U39,0,0,0,0,multimodal_consensus_logic
U40,0,0,0,1,multimodal_consensus_logic
U41,0,0,0,1,multimodal_consensus_logic
U42,0,0,0,1,multimodal_consensus_logic
U43,0,0,0,0,multimodal_consensus_logic
U44,0,0,0,1,multimodal_consensus_logic
U45,0,0,0,0,multimodal_consensus_logic
U46,0,0,0,0,multimodal_consensus_logic
U47,0,0,0,0,multimodal_consensus_logic
U48,0,0,0,1,multimodal_consensus_logic
U49,0,0,0,1,multimodal_consensus_logic
U50,0,0,0,0,multimodal_consensus_logic
U51,0,0,0,0,multimodal_consensus_logic
U52,0,0,0,0,multimodal_consensus_logic
U53,0,0,0,0,multimodal_consensus_logic
U54,0,0,0,1,multimodal_consensus_logic
U55,0,0,0,0,multimodal_consensus_logic
U56,0,0,0,0,multimodal_consensus_logic
U57,0,0,0,0,multimodal_consensus_logic
U58,0,0,0,0,multimodal_consensus_logic
U59,0,0,0,1,multimodal_consensus_logic
U60,0,0,0,0,multimodal_consensus_logic
U61,0,0,0,0,multimodal_consensus_logic
U62,0,0,0,0,multimodal_consensus_logic
U63,0,0,0,0,multimodal_consensus_logic
U64,0,0,0,1,multimodal_consensus_logic
U65,0,0,0,0,multimodal_consensus_logic
U66,0,0,0,1,multimodal_consensus_logic
U67,0,0,0,1,multimodal_consensus_logic
